step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,2,2,0.0,0.0,2.4,2.4,NS,VERY_LIGHT,0,4,0.0,0
1,0,0,2,2,0.0,0.0,2.4,2.4,NS,VERY_LIGHT,1,4,0.0,0
2,0,0,3,4,0.0,0.0,3.6,4.8,NS,VERY_LIGHT,2,8,0.0,0
3,0,0,2,4,0.0,0.0,2.4,4.8,NS,VERY_LIGHT,3,8,0.0,0
4,0,0,4,6,0.0,0.0,4.8,7.2,NS,VERY_LIGHT,4,12,0.0,0
5,0,2,2,6,0.0,2.0,2.4,14.6,NS,VERY_LIGHT,5,12,2.0,0
6,0,2,4,6,0.0,4.0,4.8,15.0,NS,VERY_LIGHT,6,12,5.0,2
7,0,5,4,6,0.0,9.0,4.8,26.5,NS,VERY_LIGHT,7,12,12.0,0
8,1,6,4,6,1.0,15.0,8.5,31.2,NS,LIGHT,8,12,21.0,0
9,3,6,4,6,4.0,21.0,16.1,32.4,NS,LIGHT,9,12,28.0,0
10,2,7,4,7,4.0,27.0,12.6,38.3,NS,LIGHT,10,13,35.0,0
11,2,6,4,7,4.0,33.0,12.6,36.0,NS,LIGHT,11,13,42.0,0
12,3,6,5,7,6.0,39.0,17.7,37.2,NS,LIGHT,12,15,51.0,0
13,2,6,5,7,8.0,45.0,14.6,38.4,NS,LIGHT,13,15,60.0,0
14,2,6,5,7,10.0,51.0,15.0,39.6,NS,LIGHT,14,15,69.0,0
15,2,7,5,7,12.0,58.0,15.4,44.5,EW,HEAVY,0,15,79.0,0
16,3,5,5,7,15.0,41.0,19.5,34.1,EW,MEDIUM,1,15,56.0,0
17,3,3,6,6,10.0,24.0,19.7,22.5,EW,MEDIUM,2,16,34.0,0
18,3,2,6,6,6.0,5.0,18.9,15.2,EW,LIGHT,3,15,11.0,1
19,2,0,6,5,5.0,0.0,15.2,6.0,EW,VERY_LIGHT,4,15,5.0,0
20,2,0,6,5,7.0,0.0,15.6,6.0,EW,VERY_LIGHT,5,14,7.0,1
21,3,0,6,5,10.0,0.0,19.7,6.0,EW,VERY_LIGHT,6,14,10.0,0
22,5,0,6,5,15.0,0.0,27.7,6.0,EW,VERY_LIGHT,7,14,15.0,0
23,5,0,6,6,20.0,0.0,28.7,7.2,EW,VERY_LIGHT,8,15,20.0,0
24,6,0,6,5,26.0,0.0,33.4,6.0,EW,VERY_LIGHT,9,15,26.0,0
25,6,0,6,4,32.0,0.0,34.6,4.8,EW,VERY_LIGHT,10,15,32.0,0
26,6,0,6,4,38.0,0.0,35.8,4.8,EW,VERY_LIGHT,11,14,38.0,1
27,6,0,6,6,44.0,0.0,37.0,7.2,EW,VERY_LIGHT,12,16,45.0,0
28,6,1,6,6,50.0,1.0,38.2,10.9,EW,LIGHT,13,16,54.0,0
29,6,2,6,6,56.0,3.0,39.4,14.8,EW,LIGHT,14,15,61.0,1
30,6,2,6,6,62.0,3.0,40.6,14.8,NS,HEAVY,0,14,68.0,1
31,4,2,6,6,42.0,5.0,29.6,15.2,NS,MEDIUM,1,14,47.0,0
32,2,2,5,6,20.0,4.0,17.0,15.0,NS,LIGHT,2,14,24.0,0
33,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,3,14,2.0,0
34,0,1,4,6,0.0,1.0,4.8,10.9,NS,VERY_LIGHT,4,14,1.0,0
35,0,1,4,6,0.0,2.0,4.8,11.1,NS,VERY_LIGHT,5,14,2.0,0
36,0,2,4,7,0.0,4.0,4.8,16.2,NS,VERY_LIGHT,6,16,4.0,0
37,0,4,4,7,0.0,8.0,4.8,24.0,NS,VERY_LIGHT,7,16,8.0,0
38,0,5,4,7,0.0,13.0,4.8,28.5,NS,VERY_LIGHT,8,15,13.0,1
39,0,5,2,7,0.0,18.0,2.4,29.5,NS,VERY_LIGHT,9,14,18.0,1
40,0,6,4,7,0.0,24.0,4.8,34.2,NS,VERY_LIGHT,10,15,24.0,1
41,0,7,4,7,0.0,31.0,4.8,39.1,NS,VERY_LIGHT,11,15,31.0,0
42,0,7,2,7,0.0,38.0,2.4,40.5,NS,VERY_LIGHT,12,14,38.0,1
43,0,7,4,7,0.0,45.0,4.8,41.9,NS,VERY_LIGHT,13,16,45.0,0
44,0,7,3,7,0.0,52.0,3.6,43.3,NS,VERY_LIGHT,14,15,52.0,1
45,0,7,2,7,0.0,59.0,2.4,44.7,EW,HEAVY,0,14,59.0,1
46,0,5,4,7,0.0,43.0,4.8,34.5,EW,MEDIUM,1,15,44.0,1
47,1,3,4,5,1.0,26.0,8.5,21.7,EW,MEDIUM,2,14,27.0,1
48,0,1,4,5,0.0,8.0,4.8,11.1,EW,LIGHT,3,13,8.0,1
49,0,0,6,5,0.0,0.0,7.2,6.0,EW,VERY_LIGHT,4,15,0.0,0
50,1,0,6,5,1.0,0.0,10.9,6.0,EW,VERY_LIGHT,5,15,1.0,0
51,3,0,6,4,4.0,0.0,18.5,4.8,EW,VERY_LIGHT,6,15,4.0,1
52,3,0,6,4,7.0,0.0,19.1,4.8,EW,VERY_LIGHT,7,15,7.0,0
53,5,0,6,4,12.0,0.0,27.1,4.8,EW,VERY_LIGHT,8,15,12.0,0
54,6,0,6,3,18.0,0.0,31.8,3.6,EW,VERY_LIGHT,9,15,18.0,1
55,6,0,6,4,24.0,0.0,33.0,4.8,EW,VERY_LIGHT,10,15,24.0,1
56,6,0,6,4,30.0,0.0,34.2,4.8,EW,VERY_LIGHT,11,14,30.0,1
57,6,0,6,3,36.0,0.0,35.4,3.6,EW,VERY_LIGHT,12,15,36.0,0
58,6,0,6,4,42.0,0.0,36.6,4.8,EW,VERY_LIGHT,13,16,42.0,0
59,6,0,6,2,48.0,0.0,37.8,2.4,EW,VERY_LIGHT,14,14,48.0,2
60,6,0,6,3,54.0,0.0,39.0,3.6,NS,MEDIUM,0,14,54.0,1
