step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,2,2,0.0,0.0,2.4,2.4,NS,VERY_LIGHT,0,4,0.0,0
1,0,0,2,2,0.0,0.0,2.4,2.4,NS,VERY_LIGHT,1,4,0.0,0
2,0,0,3,4,0.0,0.0,3.6,4.8,NS,VERY_LIGHT,2,8,0.0,0
3,0,0,2,4,0.0,0.0,2.4,4.8,NS,VERY_LIGHT,3,8,0.0,0
4,0,0,4,6,0.0,0.0,4.8,7.2,NS,VERY_LIGHT,4,12,0.0,0
5,0,2,2,6,0.0,2.0,2.4,14.6,NS,VERY_LIGHT,5,12,2.0,0
6,0,2,2,6,0.0,4.0,2.4,15.0,NS,VERY_LIGHT,6,10,5.0,2
7,0,5,2,6,0.0,9.0,2.4,26.5,NS,VERY_LIGHT,7,10,12.0,0
8,1,6,2,6,1.0,15.0,6.1,31.2,NS,VERY_LIGHT,8,10,18.0,0
9,1,6,2,6,1.0,21.0,6.1,32.4,NS,VERY_LIGHT,9,10,25.0,0
10,1,6,2,6,2.0,27.0,6.3,33.6,NS,VERY_LIGHT,10,10,33.0,0
11,1,6,1,6,3.0,33.0,5.3,34.8,NS,VERY_LIGHT,11,10,41.0,0
12,1,6,1,6,4.0,39.0,5.5,36.0,NS,VERY_LIGHT,12,10,49.0,0
13,2,6,3,6,5.0,45.0,11.6,37.2,NS,LIGHT,13,12,57.0,0
14,1,6,3,6,6.0,51.0,8.3,38.4,NS,LIGHT,14,12,65.0,0
15,1,6,2,6,7.0,57.0,7.3,39.6,EW,MEDIUM,0,12,73.0,0
16,1,4,2,6,8.0,39.0,7.5,29.0,EW,MEDIUM,1,12,57.0,0
17,1,2,2,5,9.0,21.0,7.7,17.2,EW,LIGHT,2,11,41.0,1
18,1,1,2,5,10.0,1.0,7.9,9.7,EW,LIGHT,3,11,11.0,0
19,1,1,2,6,1.0,2.0,6.1,11.1,EW,LIGHT,4,11,4.0,1
20,0,2,2,6,0.0,4.0,2.4,15.0,EW,LIGHT,5,10,6.0,1
21,0,4,3,6,0.0,4.0,3.6,22.0,EW,MEDIUM,6,12,7.0,0
22,1,3,3,6,1.0,5.0,7.3,18.7,EW,LIGHT,7,12,10.0,0
23,1,3,3,6,2.0,6.0,7.5,18.9,EW,LIGHT,8,12,13.0,0
24,1,3,3,6,3.0,7.0,7.7,19.1,EW,LIGHT,9,12,10.0,0
25,2,2,3,6,5.0,5.0,11.6,15.2,EW,LIGHT,10,12,10.0,0
26,4,1,4,6,8.0,3.0,20.4,11.3,EW,LIGHT,11,13,11.0,0
27,3,0,4,5,11.0,0.0,17.5,6.0,EW,VERY_LIGHT,12,13,11.0,0
28,3,0,4,4,14.0,0.0,18.1,4.8,EW,VERY_LIGHT,13,12,14.0,1
29,3,0,4,4,17.0,0.0,18.7,4.8,EW,VERY_LIGHT,14,12,17.0,0
30,3,0,4,4,20.0,0.0,19.3,4.8,NS,LIGHT,0,12,21.0,0
31,2,0,4,4,8.0,0.0,13.4,4.8,NS,LIGHT,1,11,9.0,1
32,1,1,4,4,2.0,1.0,8.7,8.5,NS,LIGHT,2,12,3.0,0
33,1,1,4,4,1.0,1.0,8.5,8.5,NS,LIGHT,3,12,2.0,0
34,0,0,3,4,0.0,0.0,3.6,4.8,NS,VERY_LIGHT,4,11,0.0,1
35,0,1,3,4,0.0,1.0,3.6,8.5,NS,VERY_LIGHT,5,11,1.0,0
36,0,3,2,4,0.0,4.0,2.4,16.1,NS,VERY_LIGHT,6,11,4.0,0
37,0,3,3,4,0.0,7.0,3.6,16.7,NS,VERY_LIGHT,7,12,7.0,0
38,0,5,3,5,0.0,11.0,3.6,25.7,NS,VERY_LIGHT,8,13,11.0,0
39,0,4,2,5,0.0,15.0,2.4,23.0,NS,VERY_LIGHT,9,12,15.0,1
40,0,4,2,5,0.0,19.0,2.4,23.8,NS,VERY_LIGHT,10,11,19.0,2
41,0,4,3,5,0.0,23.0,3.6,24.6,NS,VERY_LIGHT,11,12,23.0,0
42,0,5,4,6,0.0,27.0,4.8,30.1,NS,VERY_LIGHT,12,14,27.0,0
43,0,4,2,6,0.0,31.0,2.4,27.4,NS,VERY_LIGHT,13,13,31.0,1
44,0,4,3,6,0.0,35.0,3.6,28.2,NS,VERY_LIGHT,14,14,35.0,0
45,0,5,3,6,0.0,40.0,3.6,32.7,EW,MEDIUM,0,13,40.0,2
46,0,3,3,6,0.0,22.0,3.6,22.1,EW,MEDIUM,1,13,22.0,0
47,0,1,3,4,0.0,3.0,3.6,8.9,EW,LIGHT,2,11,3.0,2
48,0,0,3,4,0.0,0.0,3.6,4.8,EW,VERY_LIGHT,3,11,0.0,0
49,0,0,3,4,0.0,0.0,3.6,4.8,EW,VERY_LIGHT,4,11,0.0,0
50,1,0,3,4,1.0,0.0,7.3,4.8,EW,VERY_LIGHT,5,11,1.0,0
51,2,0,3,2,3.0,0.0,11.2,2.4,EW,VERY_LIGHT,6,11,3.0,0
52,4,0,4,2,6.0,0.0,20.0,2.4,EW,VERY_LIGHT,7,12,6.0,0
53,4,0,5,2,9.0,0.0,21.8,2.4,EW,VERY_LIGHT,8,13,9.0,0
54,3,0,5,0,12.0,0,18.9,0.0,EW,EMPTY,9,12,12.0,1
55,3,0,5,0,15.0,0,19.5,0.0,EW,EMPTY,10,10,15.0,2
56,3,0,5,1,18.0,0.0,20.1,1.2,EW,VERY_LIGHT,11,10,18.0,1
57,4,0,5,1,22.0,0.0,24.4,1.2,EW,VERY_LIGHT,12,10,22.0,0
58,4,0,5,2,26.0,0.0,25.2,2.4,EW,VERY_LIGHT,13,10,26.0,1
59,4,0,5,1,30.0,0.0,26.0,1.2,EW,VERY_LIGHT,14,9,30.0,1
60,5,0,5,2,35.0,0.0,30.5,2.4,NS,MEDIUM,0,9,35.0,1
