step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS,4,0.0,0
1,0,0,NS,4,0.0,0
2,0,0,NS,6,0.0,0
3,0,0,NS,8,0.0,0
4,0,0,NS,10,0.0,0
5,0,2,NS,12,2.0,0
6,0,2,NS,10,4.0,2
7,0,5,NS,11,9.0,0
8,0,6,NS,13,15.0,0
9,0,6,NS,12,21.0,1
10,0,6,NS,13,27.0,1
11,0,7,NS,13,34.0,0
12,0,7,NS,11,41.0,2
13,0,7,NS,13,48.0,0
14,0,7,NS,11,55.0,2
15,0,7,NS,13,62.0,0
16,0,7,NS,13,69.0,0
17,0,7,NS,11,76.0,2
18,0,7,NS,13,83.0,0
19,0,7,NS,12,90.0,1
20,0,7,EW,13,97.0,1
21,0,5,EW,12,70.0,1
22,1,3,EW,11,44.0,1
23,3,1,EW,13,16.0,0
24,3,0,EW,12,6.0,1
25,3,0,EW,12,9.0,0
26,3,0,EW,14,12.0,0
27,3,0,EW,14,15.0,0
28,4,0,EW,14,19.0,0
29,5,0,EW,15,24.0,0
30,6,0,EW,16,30.0,0
31,6,0,EW,14,36.0,2
32,6,0,EW,15,42.0,0
33,6,0,EW,14,48.0,2
34,6,0,EW,14,54.0,0
35,6,0,EW,14,60.0,1
36,6,0,EW,14,66.0,1
37,6,0,EW,13,72.0,1
38,6,0,EW,14,78.0,1
39,6,0,EW,13,84.0,1
40,6,0,NS,14,90.0,1
41,4,0,NS,14,58.0,1
42,2,1,NS,14,28.0,1
43,0,3,NS,13,4.0,1
44,0,5,NS,12,9.0,1
45,0,5,NS,13,14.0,0
46,0,5,NS,14,19.0,0
47,0,6,NS,15,25.0,0
48,0,6,NS,15,31.0,0
49,0,7,NS,15,38.0,0
50,0,7,NS,14,45.0,2
51,0,7,NS,15,52.0,0
52,0,7,NS,15,59.0,0
53,0,7,NS,14,66.0,2
54,0,7,NS,15,73.0,0
55,0,7,NS,14,80.0,1
56,0,7,NS,14,87.0,1
57,0,7,NS,14,94.0,1
58,0,7,NS,14,101.0,1
59,0,7,NS,14,108.0,1
60,0,7,EW,14,115.0,1
61,0,5,EW,14,83.0,1
62,1,3,EW,14,50.0,1
63,2,1,EW,14,18.0,1
64,3,0,EW,13,6.0,1
65,3,0,EW,13,9.0,0
66,5,0,EW,14,14.0,0
67,6,0,EW,14,20.0,0
68,6,0,EW,14,26.0,0
69,6,0,EW,15,32.0,0
70,6,0,EW,16,38.0,0
71,6,0,EW,14,44.0,2
72,6,0,EW,15,50.0,0
73,6,0,EW,15,56.0,1
74,6,0,EW,14,62.0,1
75,6,0,EW,15,68.0,1
76,6,0,EW,14,74.0,1
77,6,0,EW,14,80.0,1
78,6,0,EW,14,86.0,1
79,6,0,EW,14,92.0,1
80,6,0,NS,14,98.0,1
