step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,0,8,0.0,0
1,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,1,8,0.0,0
2,0,0,2,6,0.0,0.0,2.4,7.2,NS,VERY_LIGHT,2,12,0.0,0
3,0,0,2,6,0.0,0.0,2.4,7.2,NS,VERY_LIGHT,3,12,0.0,0
4,0,3,0,6,0,3.0,0.0,18.3,NS,EMPTY,4,12,3.0,0
5,0,5,1,6,0.0,8.0,1.2,26.3,NS,VERY_LIGHT,5,13,8.0,0
6,0,6,2,6,0.0,14.0,2.4,31.0,NS,VERY_LIGHT,6,12,14.0,2
7,0,6,2,6,0.0,20.0,2.4,32.2,NS,VERY_LIGHT,7,12,20.0,0
8,0,6,0,6,0,26.0,0.0,33.4,NS,EMPTY,8,12,26.0,0
9,0,6,0,6,0,32.0,0.0,34.6,NS,EMPTY,9,10,32.0,2
10,0,7,1,7,0.0,38.0,1.2,40.5,NS,VERY_LIGHT,10,11,39.0,1
11,0,6,1,7,0.0,44.0,1.2,38.2,NS,VERY_LIGHT,11,11,44.0,0
12,0,7,2,8,0.0,50.0,2.4,44.1,NS,VERY_LIGHT,12,12,50.0,1
13,0,6,2,8,0.0,56.0,2.4,41.8,NS,VERY_LIGHT,13,11,56.0,1
14,0,6,1,8,0.0,62.0,1.2,43.0,NS,VERY_LIGHT,14,12,62.0,0
15,0,6,1,8,0.0,68.0,1.2,44.2,EW,HEAVY,0,12,68.0,0
16,0,3,3,8,0.0,24.0,3.6,24.9,EW,MEDIUM,1,14,24.0,0
17,1,0,5,4,1.0,0.0,9.7,4.8,EW,VERY_LIGHT,2,16,1.0,0
18,1,0,5,4,2.0,0.0,9.9,4.8,EW,VERY_LIGHT,3,15,2.0,1
19,2,0,6,5,4.0,0.0,15.0,6.0,EW,VERY_LIGHT,4,16,4.0,1
20,3,0,7,5,7.0,0.0,20.3,6.0,EW,VERY_LIGHT,5,17,8.0,0
21,5,0,7,4,12.0,0.0,28.3,4.8,EW,VERY_LIGHT,6,16,15.0,1
22,5,2,7,3,17.0,2.0,29.3,11.0,EW,LIGHT,7,16,24.0,0
