step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_score,ew_score,chosen_direction,traffic_level,green_time,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,0,8,0.0,0
1,0,0,4,4,0.0,0.0,4.8,4.8,NS,VERY_LIGHT,1,8,0.0,0
2,0,0,2,6,0.0,0.0,2.4,7.2,NS,VERY_LIGHT,2,12,0.0,0
3,0,0,2,6,0.0,0.0,2.4,7.2,NS,VERY_LIGHT,3,12,0.0,0
4,0,3,0,6,0,3.0,0.0,18.3,NS,EMPTY,4,12,3.0,0
5,0,5,0,6,0,8.0,0.0,26.3,NS,EMPTY,5,12,8.0,0
6,0,6,0,6,0,14.0,0.0,31.0,NS,EMPTY,6,10,14.0,2
7,0,6,0,6,0,20.0,0.0,32.2,NS,EMPTY,7,10,20.0,0
8,0,6,0,6,0,26.0,0.0,33.4,NS,EMPTY,8,10,26.0,0
9,0,6,0,6,0,32.0,0.0,34.6,NS,EMPTY,9,8,32.0,2
10,0,6,0,6,0,38.0,0.0,35.8,NS,EMPTY,10,7,38.0,1
11,0,6,0,6,0,44.0,0.0,37.0,NS,EMPTY,11,7,44.0,0
12,0,6,0,6,0,50.0,0.0,38.2,NS,EMPTY,12,7,50.0,0
13,0,6,0,6,0,56.0,0.0,39.4,NS,EMPTY,13,6,56.0,1
14,0,6,0,6,0,62.0,0.0,40.6,NS,EMPTY,14,6,62.0,0
15,0,6,0,6,0,68.0,0.0,41.8,EW,HEAVY,0,6,68.0,0
16,0,2,0,6,0,23.0,0.0,18.8,EW,LIGHT,1,6,23.0,0
17,0,0,0,2,0,0.0,0.0,2.4,EW,VERY_LIGHT,2,6,0.0,0
18,0,0,0,2,0,0.0,0.0,2.4,EW,VERY_LIGHT,3,6,0.0,0
19,0,0,0,2,0,0.0,0.0,2.4,EW,VERY_LIGHT,4,6,0.0,0
20,0,0,0,2,0,0.0,0.0,2.4,EW,VERY_LIGHT,5,6,1.0,0
21,0,0,0,0,0,0,0.0,0.0,EW,EMPTY,6,6,3.0,0
22,0,0,0,0,0,0,0.0,0.0,EW,EMPTY,7,6,5.0,0
23,0,0,0,0,0,0,0.0,0.0,EW,EMPTY,8,6,0.0,0
