step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,4,0.0,0
1,0,0,NS_GREEN,4,0.0,0
2,0,0,NS_GREEN,8,0.0,0
3,0,0,NS_GREEN,8,0.0,0
4,0,0,NS_GREEN,12,0.0,0
5,0,2,NS_GREEN,12,2.0,0
6,0,2,NS_GREEN,12,5.0,2
7,0,5,NS_GREEN,12,12.0,0
8,1,6,NS_GREEN,12,21.0,0
9,3,6,NS_GREEN,12,28.0,0
10,2,7,NS_GREEN,13,35.0,0
11,2,6,NS_GREEN,13,42.0,0
12,3,6,NS_GREEN,15,51.0,0
13,2,6,NS_GREEN,15,60.0,0
14,2,6,NS_GREEN,15,69.0,0
15,2,7,NS_GREEN,15,79.0,0
16,3,7,NS_GREEN,15,90.0,0
17,3,7,NS_GREEN,16,101.0,0
18,3,7,NS_GREEN,15,112.0,1
19,3,7,NS_GREEN,15,123.0,0
20,3,7,NS_GREEN,15,134.0,1
21,3,7,NS_GREEN,15,145.0,0
22,3,7,NS_GREEN,15,156.0,0
23,3,7,NS_GREEN,15,167.0,1
24,3,7,NS_GREEN,15,178.0,0
25,3,7,NS_GREEN,14,189.0,1
26,3,7,NS_GREEN,15,200.0,0
27,3,7,NS_GREEN,14,211.0,1
28,3,7,NS_GREEN,14,222.0,0
29,3,7,NS_GREEN,14,233.0,0
30,3,7,EW_GREEN,14,244.0,1
31,3,5,EW_GREEN,14,201.0,0
32,3,4,EW_GREEN,14,133.0,1
33,2,3,EW_GREEN,14,63.0,0
34,1,2,EW_GREEN,14,24.0,1
35,1,2,EW_GREEN,14,6.0,0
36,1,1,EW_GREEN,14,6.0,0
37,3,1,EW_GREEN,14,6.0,0
38,4,1,EW_GREEN,15,10.0,0
39,4,0,EW_GREEN,15,13.0,0
40,5,0,EW_GREEN,15,18.0,0
41,6,0,EW_GREEN,15,24.0,0
42,6,0,EW_GREEN,14,30.0,1
43,6,0,EW_GREEN,15,37.0,0
44,6,1,EW_GREEN,16,46.0,0
45,6,2,EW_GREEN,15,53.0,1
46,6,2,EW_GREEN,14,60.0,1
47,6,2,EW_GREEN,14,67.0,0
48,6,2,EW_GREEN,14,75.0,0
49,6,3,EW_GREEN,14,85.0,0
50,6,3,EW_GREEN,14,95.0,0
51,6,3,EW_GREEN,14,105.0,0
52,6,3,EW_GREEN,15,115.0,0
53,6,3,EW_GREEN,14,125.0,1
54,6,3,EW_GREEN,14,135.0,0
55,6,3,EW_GREEN,14,145.0,1
56,6,3,EW_GREEN,14,155.0,0
57,6,3,EW_GREEN,14,165.0,0
58,6,3,EW_GREEN,15,175.0,0
59,6,3,EW_GREEN,14,185.0,1
60,6,3,NS_GREEN,14,195.0,0
61,4,3,NS_GREEN,14,153.0,1
62,2,3,NS_GREEN,14,93.0,0
63,0,2,NS_GREEN,14,31.0,1
64,0,2,NS_GREEN,14,18.0,0
65,0,1,NS_GREEN,13,4.0,1
66,1,3,NS_GREEN,14,9.0,0
67,1,5,NS_GREEN,15,12.0,0
68,1,5,NS_GREEN,15,16.0,0
69,0,6,NS_GREEN,15,21.0,0
70,0,6,NS_GREEN,15,27.0,1
71,0,7,NS_GREEN,15,34.0,1
72,0,7,NS_GREEN,15,41.0,0
73,0,7,NS_GREEN,15,48.0,1
74,0,7,NS_GREEN,15,55.0,0
75,0,7,NS_GREEN,15,62.0,1
76,0,7,NS_GREEN,15,69.0,1
77,0,7,NS_GREEN,14,78.0,1
78,1,7,NS_GREEN,13,88.0,1
79,3,7,NS_GREEN,15,96.0,0
80,2,7,NS_GREEN,15,104.0,0
81,3,7,NS_GREEN,15,114.0,0
82,2,7,NS_GREEN,15,123.0,0
83,3,7,NS_GREEN,15,134.0,0
84,3,7,NS_GREEN,15,145.0,0
85,3,7,NS_GREEN,15,156.0,0
86,3,7,NS_GREEN,15,167.0,0
87,3,7,NS_GREEN,16,178.0,0
88,3,7,NS_GREEN,16,189.0,0
89,3,7,NS_GREEN,15,200.0,1
90,3,7,EW_GREEN,15,211.0,1
91,3,5,EW_GREEN,15,168.0,0
92,3,3,EW_GREEN,14,124.0,1
93,4,1,EW_GREEN,15,63.0,0
94,3,0,EW_GREEN,15,28.0,0
95,3,0,EW_GREEN,15,17.0,1
96,2,0,EW_GREEN,15,6.0,0
97,3,0,EW_GREEN,15,9.0,0
98,4,0,EW_GREEN,15,13.0,0
99,5,0,EW_GREEN,16,18.0,1
100,6,0,EW_GREEN,15,24.0,1
101,6,0,EW_GREEN,15,30.0,0
102,6,0,EW_GREEN,14,36.0,1
103,6,0,EW_GREEN,16,42.0,0
104,6,0,EW_GREEN,16,48.0,0
105,6,0,EW_GREEN,14,54.0,2
106,6,0,EW_GREEN,16,60.0,0
107,6,0,EW_GREEN,14,66.0,2
108,6,0,EW_GREEN,16,72.0,0
109,6,0,EW_GREEN,14,80.0,2
110,6,1,EW_GREEN,14,87.0,0
111,6,3,EW_GREEN,14,97.0,0
112,6,3,EW_GREEN,14,106.0,0
113,6,3,EW_GREEN,14,115.0,0
114,6,3,EW_GREEN,14,125.0,0
115,6,3,EW_GREEN,14,135.0,0
116,6,3,EW_GREEN,14,145.0,0
117,6,3,EW_GREEN,15,155.0,0
118,6,3,EW_GREEN,14,165.0,1
119,6,3,EW_GREEN,14,175.0,0
120,6,3,NS_GREEN,13,185.0,1
121,4,3,NS_GREEN,14,141.0,0
122,2,3,NS_GREEN,14,97.0,0
123,0,3,NS_GREEN,15,53.0,0
124,0,3,NS_GREEN,14,41.0,1
125,0,3,NS_GREEN,14,30.0,0
126,0,3,NS_GREEN,14,19.0,1
127,1,3,NS_GREEN,14,10.0,0
128,2,3,NS_GREEN,15,15.0,0
129,2,4,NS_GREEN,16,22.0,0
130,3,4,NS_GREEN,15,24.0,1
131,2,4,NS_GREEN,15,26.0,0
132,1,5,NS_GREEN,15,29.0,0
133,0,6,NS_GREEN,15,32.0,1
134,0,7,NS_GREEN,15,39.0,0
135,0,7,NS_GREEN,15,46.0,0
136,0,7,NS_GREEN,15,53.0,0
137,0,7,NS_GREEN,15,61.0,1
138,0,7,NS_GREEN,15,69.0,0
139,1,7,NS_GREEN,14,78.0,1
140,3,7,NS_GREEN,15,88.0,1
141,3,7,NS_GREEN,14,100.0,1
142,4,7,NS_GREEN,14,113.0,0
143,6,7,NS_GREEN,15,120.0,0
144,4,7,NS_GREEN,15,127.0,0
145,3,7,NS_GREEN,15,133.0,0
146,2,7,NS_GREEN,15,138.0,0
147,3,7,NS_GREEN,15,149.0,0
148,3,7,NS_GREEN,15,160.0,0
149,3,7,NS_GREEN,15,171.0,0
150,3,7,EW_GREEN,15,182.0,0
151,3,5,EW_GREEN,16,143.0,0
152,3,4,EW_GREEN,15,105.0,1
153,3,3,EW_GREEN,15,66.0,0
154,4,2,EW_GREEN,15,39.0,1
155,4,4,EW_GREEN,16,33.0,0
156,3,4,EW_GREEN,15,27.0,1
157,3,3,EW_GREEN,15,18.0,0
158,4,2,EW_GREEN,15,19.0,0
159,4,1,EW_GREEN,15,20.0,0
160,4,0,EW_GREEN,16,20.0,0
161,5,0,EW_GREEN,15,25.0,1
162,6,0,EW_GREEN,15,31.0,0
163,6,0,EW_GREEN,14,37.0,1
164,6,0,EW_GREEN,15,43.0,0
165,6,0,EW_GREEN,15,49.0,1
166,6,0,EW_GREEN,15,56.0,0
167,6,0,EW_GREEN,15,63.0,1
168,6,1,EW_GREEN,14,71.0,1
169,6,2,EW_GREEN,15,81.0,0
170,6,3,EW_GREEN,14,92.0,1
171,6,4,EW_GREEN,14,98.0,0
172,6,3,EW_GREEN,14,104.0,0
173,6,3,EW_GREEN,14,110.0,0
174,6,2,EW_GREEN,14,116.0,0
175,6,3,EW_GREEN,14,126.0,0
176,6,3,EW_GREEN,14,136.0,0
177,6,3,EW_GREEN,14,146.0,0
178,6,3,EW_GREEN,15,156.0,0
179,6,3,EW_GREEN,15,166.0,0
180,6,3,NS_GREEN,14,176.0,1
181,4,3,NS_GREEN,14,134.0,1
182,2,4,NS_GREEN,14,79.0,0
183,0,4,NS_GREEN,14,23.0,0
184,0,4,NS_GREEN,14,16.0,0
185,0,3,NS_GREEN,13,10.0,1
186,1,3,NS_GREEN,14,15.0,0
187,1,4,NS_GREEN,15,18.0,0
188,1,4,NS_GREEN,15,21.0,0
189,0,5,NS_GREEN,14,25.0,1
190,0,6,NS_GREEN,15,31.0,0
191,0,6,NS_GREEN,15,37.0,1
192,0,7,NS_GREEN,15,44.0,0
193,0,7,NS_GREEN,15,51.0,1
194,0,7,NS_GREEN,15,58.0,0
195,0,7,NS_GREEN,15,65.0,1
196,0,7,NS_GREEN,15,72.0,1
197,0,7,NS_GREEN,14,81.0,1
198,1,7,NS_GREEN,13,91.0,1
199,2,7,NS_GREEN,14,102.0,0
200,4,7,NS_GREEN,15,110.0,0
201,3,7,NS_GREEN,15,118.0,0
202,4,7,NS_GREEN,15,129.0,0
203,3,7,NS_GREEN,15,139.0,0
204,3,7,NS_GREEN,15,150.0,0
205,3,7,NS_GREEN,15,161.0,0
206,3,7,NS_GREEN,15,172.0,0
207,3,7,NS_GREEN,15,183.0,0
208,3,7,NS_GREEN,16,194.0,0
209,3,7,NS_GREEN,15,205.0,1
210,3,7,EW_GREEN,15,216.0,0
211,3,5,EW_GREEN,15,172.0,1
212,3,4,EW_GREEN,15,128.0,0
