step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,4,0.0,0
1,0,0,NS_GREEN,4,0.0,0
2,0,0,NS_GREEN,8,0.0,0
3,0,0,NS_GREEN,8,0.0,0
4,0,0,NS_GREEN,12,0.0,0
5,0,2,NS_GREEN,12,2.0,0
6,0,2,NS_GREEN,10,5.0,2
7,0,5,NS_GREEN,10,12.0,0
8,1,6,NS_GREEN,10,18.0,0
9,1,6,NS_GREEN,10,25.0,0
10,1,6,NS_GREEN,10,33.0,0
11,1,6,NS_GREEN,10,41.0,0
12,1,6,NS_GREEN,10,49.0,0
13,2,6,NS_GREEN,12,57.0,0
14,1,6,NS_GREEN,12,65.0,0
15,1,6,NS_GREEN,12,73.0,0
16,1,6,NS_GREEN,12,81.0,0
17,1,6,NS_GREEN,11,89.0,1
18,1,6,NS_GREEN,11,85.0,0
19,1,7,NS_GREEN,11,82.0,1
20,0,6,NS_GREEN,10,87.0,1
21,0,6,NS_GREEN,11,93.0,0
22,0,6,NS_GREEN,11,99.0,0
23,0,7,NS_GREEN,11,106.0,0
24,0,7,NS_GREEN,11,113.0,0
25,0,7,NS_GREEN,11,120.0,0
26,0,7,NS_GREEN,12,127.0,0
27,0,7,NS_GREEN,12,134.0,0
28,0,7,NS_GREEN,10,141.0,2
29,0,7,NS_GREEN,9,148.0,1
30,0,7,EW_GREEN,9,155.0,0
31,0,5,EW_GREEN,8,108.0,1
32,0,3,EW_GREEN,9,61.0,0
33,0,1,EW_GREEN,8,11.0,1
34,0,0,EW_GREEN,9,0.0,0
35,0,0,EW_GREEN,10,0.0,0
36,0,0,EW_GREEN,11,0.0,0
37,1,0,EW_GREEN,11,1.0,0
38,1,0,EW_GREEN,11,2.0,0
39,2,0,EW_GREEN,13,5.0,0
40,3,1,EW_GREEN,13,9.0,0
41,3,1,EW_GREEN,12,13.0,2
42,3,1,EW_GREEN,13,17.0,0
43,3,1,EW_GREEN,14,22.0,0
44,4,2,EW_GREEN,14,29.0,0
45,5,3,EW_GREEN,14,38.0,0
46,5,3,EW_GREEN,14,47.0,0
47,6,3,EW_GREEN,14,57.0,0
48,6,3,EW_GREEN,13,67.0,1
49,6,3,EW_GREEN,12,77.0,1
50,6,3,EW_GREEN,12,87.0,0
51,6,3,EW_GREEN,12,97.0,0
52,6,3,EW_GREEN,12,107.0,0
53,6,3,EW_GREEN,11,103.0,1
54,6,2,EW_GREEN,11,99.0,0
55,6,1,EW_GREEN,11,95.0,0
56,6,0,EW_GREEN,10,90.0,1
57,6,0,EW_GREEN,10,96.0,0
58,6,0,EW_GREEN,10,102.0,0
59,6,0,EW_GREEN,11,108.0,0
60,6,0,NS_GREEN,11,114.0,0
61,4,0,NS_GREEN,11,77.0,0
62,2,0,NS_GREEN,10,39.0,1
63,0,0,NS_GREEN,12,0.0,0
64,0,1,NS_GREEN,11,1.0,1
65,0,1,NS_GREEN,12,2.0,0
66,0,1,NS_GREEN,12,3.0,1
67,0,2,NS_GREEN,15,5.0,0
68,0,3,NS_GREEN,15,8.0,0
69,0,4,NS_GREEN,15,12.0,0
70,0,5,NS_GREEN,14,19.0,1
71,2,7,NS_GREEN,15,27.0,1
72,3,7,NS_GREEN,15,37.0,0
73,2,7,NS_GREEN,15,45.0,0
74,2,7,NS_GREEN,15,55.0,0
75,3,7,NS_GREEN,15,66.0,0
76,3,7,NS_GREEN,15,77.0,0
77,3,7,NS_GREEN,15,88.0,0
78,3,7,NS_GREEN,15,99.0,0
79,3,7,NS_GREEN,16,110.0,0
80,3,7,NS_GREEN,15,121.0,1
81,3,7,NS_GREEN,14,132.0,1
82,3,7,NS_GREEN,15,143.0,0
83,3,7,NS_GREEN,15,154.0,0
84,3,7,NS_GREEN,14,165.0,1
85,3,7,NS_GREEN,14,176.0,0
86,3,7,NS_GREEN,14,187.0,1
87,3,7,NS_GREEN,14,198.0,0
88,3,7,NS_GREEN,14,209.0,1
89,3,7,NS_GREEN,14,220.0,0
90,3,7,EW_GREEN,14,231.0,1
91,3,5,EW_GREEN,14,169.0,0
92,3,3,EW_GREEN,14,109.0,0
93,3,2,EW_GREEN,14,47.0,0
94,3,0,EW_GREEN,14,5.0,1
95,3,0,EW_GREEN,14,8.0,0
96,3,0,EW_GREEN,14,11.0,0
97,4,0,EW_GREEN,15,15.0,0
98,6,0,EW_GREEN,15,21.0,0
99,6,0,EW_GREEN,15,27.0,0
100,6,0,EW_GREEN,14,33.0,1
101,6,0,EW_GREEN,14,39.0,0
102,6,0,EW_GREEN,15,46.0,0
103,6,0,EW_GREEN,15,53.0,0
104,6,1,EW_GREEN,13,61.0,2
105,6,3,EW_GREEN,15,71.0,0
106,6,3,EW_GREEN,14,77.0,1
107,6,2,EW_GREEN,14,83.0,0
108,6,1,EW_GREEN,14,88.0,0
109,6,2,EW_GREEN,14,97.0,0
110,6,3,EW_GREEN,14,107.0,0
111,6,3,EW_GREEN,14,117.0,0
112,6,3,EW_GREEN,14,127.0,0
113,6,3,EW_GREEN,14,137.0,0
114,6,3,EW_GREEN,13,147.0,1
115,6,3,EW_GREEN,13,157.0,0
116,6,3,EW_GREEN,12,167.0,1
117,6,3,EW_GREEN,12,177.0,0
118,6,3,EW_GREEN,12,187.0,0
119,6,3,EW_GREEN,11,182.0,1
120,6,2,NS_GREEN,11,176.0,0
121,4,1,NS_GREEN,10,114.0,1
122,2,0,NS_GREEN,10,50.0,0
123,0,1,NS_GREEN,10,1.0,0
124,0,2,NS_GREEN,11,3.0,0
125,0,2,NS_GREEN,12,5.0,0
126,0,2,NS_GREEN,13,7.0,0
127,0,3,NS_GREEN,14,10.0,0
128,0,4,NS_GREEN,14,14.0,1
129,0,4,NS_GREEN,15,18.0,0
130,0,5,NS_GREEN,15,23.0,1
131,0,5,NS_GREEN,15,28.0,0
132,0,5,NS_GREEN,15,33.0,1
133,0,6,NS_GREEN,15,39.0,1
134,0,7,NS_GREEN,15,46.0,0
135,0,7,NS_GREEN,14,53.0,2
136,0,7,NS_GREEN,15,61.0,0
137,0,7,NS_GREEN,13,70.0,2
138,1,7,NS_GREEN,13,80.0,0
139,4,7,NS_GREEN,15,88.0,0
140,3,7,NS_GREEN,15,93.0,0
141,2,7,NS_GREEN,15,98.0,0
142,1,7,NS_GREEN,15,103.0,0
143,0,7,NS_GREEN,15,109.0,0
144,0,7,NS_GREEN,15,116.0,0
145,0,7,NS_GREEN,15,123.0,0
146,0,7,NS_GREEN,15,130.0,0
147,0,7,NS_GREEN,15,137.0,0
148,0,7,NS_GREEN,14,144.0,1
149,0,7,NS_GREEN,14,151.0,1
150,0,7,EW_GREEN,15,158.0,0
151,0,5,EW_GREEN,15,114.0,0
152,0,3,EW_GREEN,15,70.0,1
153,1,1,EW_GREEN,16,27.0,0
154,3,0,EW_GREEN,15,4.0,1
155,4,0,EW_GREEN,15,8.0,1
156,5,0,EW_GREEN,14,13.0,1
157,6,0,EW_GREEN,14,19.0,0
158,6,0,EW_GREEN,14,25.0,0
159,6,0,EW_GREEN,14,31.0,0
160,6,0,EW_GREEN,14,37.0,0
161,6,0,EW_GREEN,14,44.0,1
162,6,0,EW_GREEN,13,51.0,1
163,6,1,EW_GREEN,13,59.0,0
164,6,2,EW_GREEN,14,68.0,0
165,6,2,EW_GREEN,13,77.0,1
166,6,2,EW_GREEN,13,86.0,0
167,6,3,EW_GREEN,14,95.0,1
168,6,2,EW_GREEN,14,104.0,0
169,6,2,EW_GREEN,14,114.0,1
170,6,2,EW_GREEN,14,124.0,0
171,6,3,EW_GREEN,14,124.0,0
172,6,4,EW_GREEN,14,126.0,0
173,6,3,EW_GREEN,14,127.0,0
174,6,3,EW_GREEN,14,134.0,0
175,6,3,EW_GREEN,14,144.0,0
176,6,3,EW_GREEN,14,154.0,0
177,6,3,EW_GREEN,14,164.0,0
178,6,3,EW_GREEN,14,174.0,0
179,6,3,EW_GREEN,14,184.0,0
180,6,3,NS_GREEN,13,194.0,1
181,4,3,NS_GREEN,13,147.0,0
182,2,4,NS_GREEN,12,85.0,1
183,1,3,NS_GREEN,12,25.0,0
184,1,2,NS_GREEN,12,16.0,0
185,2,1,NS_GREEN,11,7.0,1
186,2,2,NS_GREEN,11,11.0,0
187,1,2,NS_GREEN,12,10.0,0
188,1,4,NS_GREEN,13,12.0,0
189,0,3,NS_GREEN,13,14.0,0
190,0,4,NS_GREEN,14,18.0,0
191,0,5,NS_GREEN,14,23.0,1
192,0,5,NS_GREEN,14,28.0,0
193,0,5,NS_GREEN,16,33.0,0
194,0,5,NS_GREEN,15,38.0,1
195,0,5,NS_GREEN,15,44.0,0
196,0,6,NS_GREEN,15,51.0,2
197,1,7,NS_GREEN,15,60.0,0
198,1,7,NS_GREEN,15,69.0,0
199,2,7,NS_GREEN,15,79.0,1
200,2,7,NS_GREEN,15,89.0,0
201,3,7,NS_GREEN,15,100.0,0
202,3,7,NS_GREEN,15,111.0,1
203,3,7,NS_GREEN,14,122.0,1
204,3,7,NS_GREEN,15,133.0,0
205,3,7,NS_GREEN,14,144.0,1
206,3,7,NS_GREEN,15,155.0,0
207,3,7,NS_GREEN,14,166.0,1
208,3,7,NS_GREEN,15,177.0,0
209,3,7,NS_GREEN,14,188.0,1
210,3,7,EW_GREEN,14,199.0,0
211,3,5,EW_GREEN,15,137.0,0
212,2,4,EW_GREEN,15,88.0,0
