step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,4,0.0,0
1,0,0,NS_GREEN,4,0.0,0
2,0,0,NS_GREEN,6,0.0,0
3,0,0,NS_GREEN,8,0.0,0
4,0,0,NS_GREEN,10,0.0,0
5,0,2,NS_GREEN,12,2.0,0
6,0,2,NS_GREEN,10,4.0,2
7,0,5,NS_GREEN,11,9.0,0
8,0,6,NS_GREEN,13,15.0,0
9,0,6,NS_GREEN,12,21.0,1
10,0,6,NS_GREEN,13,27.0,1
11,0,7,NS_GREEN,13,34.0,0
12,0,7,NS_GREEN,11,41.0,2
13,0,7,NS_GREEN,13,48.0,0
14,0,7,NS_GREEN,11,55.0,2
15,0,7,NS_GREEN,13,62.0,0
16,0,7,NS_GREEN,13,69.0,0
17,0,7,NS_GREEN,11,76.0,2
18,0,7,NS_GREEN,13,83.0,0
19,0,7,NS_GREEN,12,90.0,1
20,0,7,NS_GREEN,13,97.0,1
21,0,7,NS_GREEN,12,104.0,1
22,0,7,NS_GREEN,11,111.0,1
23,0,7,NS_GREEN,13,118.0,0
24,0,7,NS_GREEN,12,125.0,1
25,0,7,NS_GREEN,13,132.0,1
26,0,7,NS_GREEN,12,139.0,1
27,0,7,NS_GREEN,11,146.0,1
28,0,7,NS_GREEN,13,153.0,0
29,0,7,NS_GREEN,12,160.0,1
30,0,7,EW_GREEN,13,167.0,1
31,0,5,EW_GREEN,12,120.0,1
32,1,3,EW_GREEN,11,74.0,1
33,3,1,EW_GREEN,13,26.0,0
34,2,0,EW_GREEN,13,5.0,0
35,3,0,EW_GREEN,13,8.0,1
36,3,0,EW_GREEN,14,11.0,0
37,3,0,EW_GREEN,14,14.0,0
38,4,0,EW_GREEN,14,18.0,0
39,5,0,EW_GREEN,16,23.0,0
40,6,0,EW_GREEN,16,29.0,0
41,6,0,EW_GREEN,14,35.0,2
42,6,0,EW_GREEN,16,41.0,0
43,6,0,EW_GREEN,14,47.0,2
44,6,0,EW_GREEN,14,53.0,0
45,6,0,EW_GREEN,15,59.0,1
46,6,0,EW_GREEN,14,65.0,1
47,6,0,EW_GREEN,14,71.0,1
48,6,0,EW_GREEN,14,77.0,1
49,6,0,EW_GREEN,14,83.0,1
50,6,0,EW_GREEN,14,89.0,1
51,6,0,EW_GREEN,14,95.0,1
52,6,0,EW_GREEN,14,101.0,1
53,6,0,EW_GREEN,14,107.0,1
54,6,0,EW_GREEN,13,113.0,2
55,6,0,EW_GREEN,14,119.0,0
56,6,0,EW_GREEN,13,125.0,2
57,6,0,EW_GREEN,14,131.0,0
58,6,0,EW_GREEN,13,137.0,2
59,6,0,EW_GREEN,13,143.0,1
60,6,0,NS_GREEN,13,149.0,1
61,4,0,NS_GREEN,13,98.0,1
62,2,1,NS_GREEN,13,49.0,1
63,0,1,NS_GREEN,13,2.0,1
64,0,2,NS_GREEN,12,4.0,1
65,0,3,NS_GREEN,13,7.0,0
66,0,3,NS_GREEN,14,10.0,0
67,0,5,NS_GREEN,15,15.0,0
68,0,5,NS_GREEN,15,20.0,0
69,0,6,NS_GREEN,15,26.0,0
70,0,7,NS_GREEN,16,33.0,1
71,0,7,NS_GREEN,15,40.0,1
72,0,7,NS_GREEN,14,47.0,1
73,0,7,NS_GREEN,14,54.0,1
74,0,7,NS_GREEN,14,61.0,1
75,0,7,NS_GREEN,13,68.0,1
76,0,7,NS_GREEN,15,75.0,0
77,0,7,NS_GREEN,13,82.0,2
78,0,7,NS_GREEN,14,89.0,1
79,0,7,NS_GREEN,13,96.0,1
80,0,7,NS_GREEN,14,103.0,1
81,0,7,NS_GREEN,13,110.0,1
82,0,7,NS_GREEN,15,117.0,0
83,0,7,NS_GREEN,13,124.0,2
84,0,7,NS_GREEN,15,131.0,0
85,0,7,NS_GREEN,13,138.0,2
86,0,7,NS_GREEN,14,145.0,1
87,0,7,NS_GREEN,13,152.0,1
88,0,7,NS_GREEN,14,159.0,1
89,0,7,NS_GREEN,13,166.0,1
90,0,7,EW_GREEN,14,173.0,1
91,0,5,EW_GREEN,14,122.0,1
92,1,3,EW_GREEN,15,74.0,1
93,2,1,EW_GREEN,14,27.0,1
94,3,0,EW_GREEN,13,6.0,2
95,4,0,EW_GREEN,14,10.0,0
96,5,0,EW_GREEN,14,15.0,0
97,6,0,EW_GREEN,14,21.0,0
98,6,0,EW_GREEN,14,27.0,0
99,6,0,EW_GREEN,16,33.0,0
100,6,0,EW_GREEN,16,39.0,0
101,6,0,EW_GREEN,14,45.0,2
102,6,0,EW_GREEN,16,51.0,0
103,6,0,EW_GREEN,14,57.0,2
104,6,0,EW_GREEN,14,63.0,0
105,6,0,EW_GREEN,14,69.0,2
106,6,0,EW_GREEN,14,75.0,0
107,6,0,EW_GREEN,13,81.0,2
108,6,0,EW_GREEN,14,87.0,0
109,6,0,EW_GREEN,13,93.0,2
110,6,0,EW_GREEN,14,99.0,0
111,6,0,EW_GREEN,13,105.0,2
112,6,0,EW_GREEN,14,111.0,0
113,6,0,EW_GREEN,13,117.0,2
114,6,0,EW_GREEN,14,123.0,0
115,6,0,EW_GREEN,13,129.0,2
116,6,0,EW_GREEN,13,135.0,1
117,6,0,EW_GREEN,13,141.0,1
118,6,0,EW_GREEN,13,147.0,1
119,6,0,EW_GREEN,13,153.0,1
120,6,0,NS_GREEN,13,159.0,1
121,4,0,NS_GREEN,13,107.0,1
122,2,0,NS_GREEN,13,53.0,1
123,0,2,NS_GREEN,13,2.0,1
124,0,2,NS_GREEN,12,4.0,1
125,0,3,NS_GREEN,13,7.0,0
126,0,5,NS_GREEN,14,12.0,0
127,0,5,NS_GREEN,15,17.0,0
128,0,7,NS_GREEN,15,24.0,0
129,0,7,NS_GREEN,15,31.0,0
130,0,7,NS_GREEN,17,38.0,0
131,0,7,NS_GREEN,15,45.0,2
132,0,7,NS_GREEN,15,52.0,0
133,0,7,NS_GREEN,15,59.0,2
134,0,7,NS_GREEN,15,66.0,0
135,0,7,NS_GREEN,13,73.0,2
136,0,7,NS_GREEN,15,80.0,0
137,0,7,NS_GREEN,13,87.0,2
138,0,7,NS_GREEN,15,94.0,0
139,0,7,NS_GREEN,13,101.0,2
140,0,7,NS_GREEN,14,108.0,1
141,0,7,NS_GREEN,13,115.0,1
142,0,7,NS_GREEN,15,122.0,0
143,0,7,NS_GREEN,13,129.0,2
144,0,7,NS_GREEN,15,136.0,0
145,0,7,NS_GREEN,13,143.0,2
146,0,7,NS_GREEN,15,150.0,0
147,0,7,NS_GREEN,13,157.0,2
148,0,7,NS_GREEN,14,164.0,1
149,0,7,NS_GREEN,13,171.0,1
150,0,7,EW_GREEN,14,178.0,1
151,1,5,EW_GREEN,14,127.0,1
152,1,3,EW_GREEN,16,78.0,0
153,2,1,EW_GREEN,14,29.0,2
154,2,0,EW_GREEN,13,5.0,1
155,2,0,EW_GREEN,13,7.0,1
156,4,0,EW_GREEN,13,11.0,0
157,5,0,EW_GREEN,13,16.0,0
158,5,0,EW_GREEN,13,21.0,0
159,5,0,EW_GREEN,15,26.0,0
160,5,0,EW_GREEN,15,31.0,0
161,5,0,EW_GREEN,13,36.0,2
162,5,0,EW_GREEN,15,41.0,0
163,5,0,EW_GREEN,13,46.0,2
164,5,0,EW_GREEN,13,51.0,0
165,5,0,EW_GREEN,13,56.0,2
166,5,0,EW_GREEN,13,61.0,0
167,5,0,EW_GREEN,13,66.0,1
168,5,0,EW_GREEN,13,71.0,1
169,5,0,EW_GREEN,13,76.0,1
170,5,0,EW_GREEN,13,81.0,1
171,5,0,EW_GREEN,12,86.0,2
172,5,0,EW_GREEN,13,91.0,0
173,5,0,EW_GREEN,12,96.0,2
174,5,0,EW_GREEN,13,101.0,0
175,5,0,EW_GREEN,13,106.0,1
176,5,0,EW_GREEN,13,111.0,1
177,5,0,EW_GREEN,12,116.0,2
178,5,0,EW_GREEN,12,121.0,1
179,5,0,EW_GREEN,12,126.0,1
180,5,0,NS_GREEN,12,131.0,1
181,3,0,NS_GREEN,12,80.0,1
182,1,0,NS_GREEN,12,27.0,1
183,0,2,NS_GREEN,12,2.0,1
184,0,3,NS_GREEN,12,5.0,1
185,0,4,NS_GREEN,12,9.0,0
186,0,4,NS_GREEN,12,13.0,0
187,0,6,NS_GREEN,12,19.0,0
188,0,7,NS_GREEN,12,26.0,0
189,0,7,NS_GREEN,12,33.0,0
190,0,7,NS_GREEN,10,40.0,2
191,0,7,NS_GREEN,10,47.0,0
192,0,7,NS_GREEN,10,54.0,0
193,0,7,NS_GREEN,8,61.0,2
194,0,7,NS_GREEN,8,68.0,0
195,0,7,NS_GREEN,7,75.0,1
196,0,7,NS_GREEN,7,82.0,0
197,0,7,NS_GREEN,7,89.0,0
198,0,7,NS_GREEN,7,96.0,0
199,0,7,NS_GREEN,7,103.0,0
200,0,7,NS_GREEN,7,110.0,0
201,0,7,NS_GREEN,7,117.0,0
202,0,7,NS_GREEN,7,124.0,0
203,0,7,NS_GREEN,7,131.0,0
204,0,7,NS_GREEN,7,138.0,0
205,0,7,NS_GREEN,7,145.0,0
206,0,7,NS_GREEN,7,152.0,0
207,0,7,NS_GREEN,7,159.0,0
208,0,7,NS_GREEN,7,166.0,0
209,0,7,NS_GREEN,7,173.0,0
210,0,7,EW_GREEN,7,180.0,0
211,0,5,EW_GREEN,7,129.0,0
212,0,3,EW_GREEN,7,77.0,0
