step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,8,0.0,0
1,0,0,NS_GREEN,8,0.0,0
2,0,0,NS_GREEN,12,0.0,0
3,0,0,NS_GREEN,12,0.0,0
4,0,3,NS_GREEN,12,3.0,0
5,0,5,NS_GREEN,13,8.0,0
6,0,6,NS_GREEN,12,14.0,2
7,0,6,NS_GREEN,12,20.0,0
8,0,6,NS_GREEN,12,26.0,0
9,0,6,NS_GREEN,10,32.0,2
10,0,7,NS_GREEN,11,39.0,1
11,0,6,NS_GREEN,11,44.0,0
12,0,7,NS_GREEN,12,50.0,1
13,0,6,NS_GREEN,11,56.0,1
14,0,6,NS_GREEN,12,62.0,0
15,0,6,NS_GREEN,12,68.0,0
16,0,7,NS_GREEN,13,75.0,0
17,0,7,NS_GREEN,16,82.0,0
18,0,7,NS_GREEN,15,89.0,1
19,0,8,NS_GREEN,15,97.0,1
20,0,8,NS_GREEN,16,105.0,0
21,0,8,NS_GREEN,14,113.0,2
22,0,8,NS_GREEN,14,121.0,0
23,0,8,NS_GREEN,14,129.0,1
24,0,9,NS_GREEN,14,137.0,2
25,0,8,NS_GREEN,14,145.0,0
26,0,8,NS_GREEN,12,153.0,2
27,0,8,NS_GREEN,12,161.0,0
28,0,9,NS_GREEN,15,170.0,0
29,0,9,NS_GREEN,14,179.0,1
30,0,9,EW_GREEN,14,188.0,1
31,0,5,EW_GREEN,14,86.0,0
32,0,2,EW_GREEN,13,6.0,1
33,0,0,EW_GREEN,16,0.0,0
34,1,0,EW_GREEN,16,1.0,2
35,1,0,EW_GREEN,16,3.0,0
36,1,0,EW_GREEN,17,6.0,0
37,5,1,EW_GREEN,18,13.0,0
38,5,2,EW_GREEN,20,20.0,0
39,5,1,EW_GREEN,21,26.0,1
40,4,1,EW_GREEN,21,33.0,0
41,5,1,EW_GREEN,21,41.0,2
42,6,3,EW_GREEN,22,51.0,0
43,7,4,EW_GREEN,20,64.0,2
44,7,4,EW_GREEN,20,77.0,0
45,7,3,EW_GREEN,19,79.0,1
46,7,3,EW_GREEN,19,91.0,1
47,7,4,EW_GREEN,18,103.0,2
48,8,1,EW_GREEN,19,106.0,0
49,8,1,EW_GREEN,18,117.0,1
50,8,1,EW_GREEN,18,128.0,0
51,8,2,EW_GREEN,18,140.0,0
52,8,3,EW_GREEN,18,153.0,0
53,8,2,EW_GREEN,18,162.0,0
54,8,2,EW_GREEN,18,174.0,0
55,8,2,EW_GREEN,17,186.0,1
56,8,4,EW_GREEN,19,198.0,0
57,8,0,EW_GREEN,18,189.0,1
58,8,1,EW_GREEN,18,200.0,0
59,8,1,EW_GREEN,17,211.0,1
60,8,1,NS_GREEN,18,222.0,0
61,4,1,NS_GREEN,18,103.0,1
62,0,1,NS_GREEN,18,32.0,0
63,2,1,NS_GREEN,17,36.0,1
64,2,4,NS_GREEN,18,43.0,0
65,4,5,NS_GREEN,18,24.0,0
66,6,5,NS_GREEN,19,27.0,0
67,3,5,NS_GREEN,18,28.0,1
68,1,6,NS_GREEN,18,30.0,0
69,2,6,NS_GREEN,16,39.0,2
70,2,6,NS_GREEN,18,48.0,0
71,2,6,NS_GREEN,18,57.0,0
72,2,8,NS_GREEN,19,66.0,1
73,2,6,NS_GREEN,19,75.0,1
74,2,6,NS_GREEN,20,84.0,1
75,2,6,NS_GREEN,21,93.0,0
76,3,6,NS_GREEN,20,102.0,2
77,0,6,NS_GREEN,21,91.0,1
78,0,7,NS_GREEN,20,86.0,2
79,1,8,NS_GREEN,19,96.0,1
80,1,9,NS_GREEN,18,107.0,1
81,1,9,NS_GREEN,18,118.0,0
82,2,9,NS_GREEN,18,130.0,1
83,2,9,NS_GREEN,20,143.0,0
84,2,10,NS_GREEN,21,154.0,0
85,2,9,NS_GREEN,22,166.0,0
86,2,9,NS_GREEN,22,168.0,0
87,1,10,NS_GREEN,21,171.0,2
88,0,10,NS_GREEN,19,176.0,2
89,0,10,NS_GREEN,19,187.0,0
90,0,10,EW_GREEN,19,198.0,1
91,0,6,EW_GREEN,20,101.0,0
92,1,2,EW_GREEN,21,25.0,0
93,2,1,EW_GREEN,22,10.0,1
94,3,1,EW_GREEN,22,15.0,0
95,3,2,EW_GREEN,22,14.0,2
96,4,3,EW_GREEN,21,23.0,1
97,5,2,EW_GREEN,20,28.0,1
98,7,3,EW_GREEN,21,36.0,0
99,7,3,EW_GREEN,21,45.0,0
100,7,4,EW_GREEN,21,58.0,0
101,7,4,EW_GREEN,22,71.0,0
