step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,8,0.0,0
1,0,0,NS_GREEN,8,0.0,0
2,0,0,NS_GREEN,12,0.0,0
3,0,0,NS_GREEN,12,0.0,0
4,0,3,NS_GREEN,12,3.0,0
5,0,5,NS_GREEN,12,8.0,0
6,0,6,NS_GREEN,10,14.0,2
7,0,6,NS_GREEN,10,20.0,0
8,0,6,NS_GREEN,10,26.0,0
9,0,6,NS_GREEN,8,32.0,2
10,0,6,NS_GREEN,7,38.0,1
11,0,6,NS_GREEN,7,44.0,0
12,0,6,NS_GREEN,7,50.0,0
13,0,6,NS_GREEN,6,56.0,1
14,0,6,NS_GREEN,6,62.0,0
15,0,6,NS_GREEN,6,68.0,0
16,0,6,NS_GREEN,6,74.0,0
17,0,6,NS_GREEN,6,80.0,0
18,0,6,NS_GREEN,6,86.0,0
19,0,6,NS_GREEN,6,92.0,0
20,0,6,NS_GREEN,6,98.0,0
21,0,6,NS_GREEN,6,104.0,0
22,0,6,NS_GREEN,6,110.0,0
23,0,6,NS_GREEN,6,116.0,0
24,0,6,NS_GREEN,6,122.0,0
25,0,6,NS_GREEN,6,128.0,0
26,0,6,NS_GREEN,6,134.0,0
27,0,6,NS_GREEN,6,140.0,0
28,0,6,NS_GREEN,6,146.0,0
29,0,6,NS_GREEN,6,152.0,0
30,0,6,EW_GREEN,6,158.0,0
31,0,2,EW_GREEN,6,53.0,0
32,0,0,EW_GREEN,6,0.0,0
33,0,0,EW_GREEN,6,0.0,0
34,0,0,EW_GREEN,7,0.0,0
35,0,0,EW_GREEN,7,1.0,0
36,0,0,EW_GREEN,7,3.0,0
37,1,0,EW_GREEN,7,6.0,0
38,1,0,EW_GREEN,7,2.0,0
39,1,0,EW_GREEN,7,3.0,0
40,1,0,EW_GREEN,7,4.0,0
41,1,0,EW_GREEN,3,5.0,4
42,1,0,EW_GREEN,4,6.0,0
43,1,0,EW_GREEN,4,7.0,0
44,1,0,EW_GREEN,4,8.0,0
45,1,0,EW_GREEN,4,9.0,0
46,2,0,EW_GREEN,2,11.0,2
47,2,0,EW_GREEN,2,13.0,0
48,2,0,EW_GREEN,2,15.0,0
49,2,0,EW_GREEN,2,17.0,0
50,2,0,EW_GREEN,2,19.0,0
51,2,0,EW_GREEN,2,21.0,0
52,2,0,EW_GREEN,2,23.0,0
53,2,0,EW_GREEN,2,25.0,0
54,2,0,EW_GREEN,2,27.0,0
55,2,0,EW_GREEN,2,29.0,0
56,2,0,EW_GREEN,4,31.0,0
57,2,0,EW_GREEN,4,33.0,0
58,2,0,EW_GREEN,4,35.0,0
59,2,0,EW_GREEN,4,37.0,0
60,2,0,NS_GREEN,4,39.0,0
61,0,0,NS_GREEN,4,0.0,0
62,0,0,NS_GREEN,4,0.0,0
63,0,0,NS_GREEN,2,0.0,2
64,0,0,NS_GREEN,2,0.0,0
65,0,0,NS_GREEN,2,0.0,0
66,0,0,NS_GREEN,2,0.0,0
67,0,0,NS_GREEN,3,0.0,0
68,0,0,NS_GREEN,3,0.0,0
69,0,0,NS_GREEN,3,0.0,0
70,0,0,NS_GREEN,1,0.0,2
71,0,0,NS_GREEN,1,0.0,0
72,0,0,NS_GREEN,1,0.0,0
73,0,0,NS_GREEN,0,0,1
74,0,0,NS_GREEN,0,0,0
75,0,0,NS_GREEN,0,0,0
76,0,0,NS_GREEN,0,0,0
77,0,0,NS_GREEN,0,0,0
78,0,0,NS_GREEN,0,0,0
79,0,0,NS_GREEN,0,0,0
80,0,0,NS_GREEN,0,0,0
81,0,0,NS_GREEN,0,0,0
82,0,0,NS_GREEN,0,0,0
83,0,0,NS_GREEN,0,0,0
84,0,0,NS_GREEN,1,0.0,0
85,0,0,NS_GREEN,1,0.0,0
86,0,0,NS_GREEN,1,0.0,0
87,0,0,NS_GREEN,1,0.0,0
88,0,0,NS_GREEN,1,0.0,0
89,0,0,NS_GREEN,1,0.0,0
90,0,0,EW_GREEN,0,0,1
91,0,0,EW_GREEN,0,0,0
92,0,0,EW_GREEN,0,0,0
93,0,0,EW_GREEN,0,0,0
94,0,0,EW_GREEN,0,0,0
95,0,0,EW_GREEN,0,0,0
96,0,0,EW_GREEN,0,0,0
97,0,0,EW_GREEN,0,0,0
98,0,0,EW_GREEN,0,0,0
99,0,0,EW_GREEN,0,0,0
100,0,0,EW_GREEN,2,0.0,0
101,0,0,EW_GREEN,2,0.0,0
102,0,0,EW_GREEN,3,0.0,0
103,0,0,EW_GREEN,3,0.0,0
