step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,8,0.0,0
1,0,0,NS_GREEN,8,0.0,0
2,0,0,NS_GREEN,12,0.0,0
3,0,0,NS_GREEN,12,0.0,0
4,0,3,NS_GREEN,12,3.0,0
5,0,5,NS_GREEN,12,8.0,0
6,0,6,NS_GREEN,10,14.0,2
7,0,6,NS_GREEN,10,20.0,0
8,0,6,NS_GREEN,10,26.0,0
9,0,6,NS_GREEN,8,32.0,2
10,0,6,NS_GREEN,7,38.0,1
11,0,6,NS_GREEN,8,44.0,0
12,0,6,NS_GREEN,8,50.0,0
13,0,6,NS_GREEN,8,56.0,1
14,0,6,NS_GREEN,8,62.0,0
15,0,6,NS_GREEN,8,68.0,0
16,0,6,NS_GREEN,8,74.0,0
17,0,6,NS_GREEN,7,80.0,1
18,0,6,NS_GREEN,7,86.0,0
19,0,7,NS_GREEN,7,92.0,1
20,0,6,NS_GREEN,7,98.0,0
21,0,7,NS_GREEN,9,104.0,0
22,0,6,NS_GREEN,9,110.0,0
23,0,6,NS_GREEN,9,116.0,0
24,0,6,NS_GREEN,9,122.0,0
25,0,7,NS_GREEN,9,129.0,0
26,0,7,NS_GREEN,10,136.0,0
27,0,7,NS_GREEN,9,143.0,1
28,0,8,NS_GREEN,9,151.0,0
29,0,8,NS_GREEN,9,159.0,0
30,0,8,EW_GREEN,9,167.0,0
31,0,4,EW_GREEN,9,64.0,0
32,0,0,EW_GREEN,10,0.0,1
33,0,0,EW_GREEN,10,0.0,0
34,0,0,EW_GREEN,11,0.0,0
35,0,0,EW_GREEN,11,1.0,0
36,1,0,EW_GREEN,11,4.0,0
37,3,1,EW_GREEN,11,10.0,0
38,3,1,EW_GREEN,12,11.0,0
39,3,1,EW_GREEN,14,16.0,0
40,3,0,EW_GREEN,14,18.0,0
41,3,0,EW_GREEN,10,22.0,4
42,4,0,EW_GREEN,12,26.0,0
43,5,0,EW_GREEN,12,32.0,0
44,5,0,EW_GREEN,13,38.0,0
45,5,0,EW_GREEN,12,44.0,1
46,6,0,EW_GREEN,11,51.0,1
47,6,0,EW_GREEN,11,46.0,0
48,7,0,EW_GREEN,11,53.0,0
49,7,0,EW_GREEN,10,60.0,1
50,7,0,EW_GREEN,10,67.0,0
51,7,0,EW_GREEN,9,74.0,1
52,8,0,EW_GREEN,10,81.0,0
53,7,0,EW_GREEN,9,88.0,1
54,7,0,EW_GREEN,9,95.0,0
55,7,0,EW_GREEN,8,102.0,1
56,7,0,EW_GREEN,10,109.0,0
57,8,0,EW_GREEN,10,117.0,0
58,8,0,EW_GREEN,11,125.0,0
59,8,0,EW_GREEN,11,133.0,0
60,8,0,NS_GREEN,11,141.0,0
61,4,0,NS_GREEN,11,60.0,0
62,0,0,NS_GREEN,10,0.0,1
63,0,0,NS_GREEN,11,0.0,1
64,0,0,NS_GREEN,10,0.0,1
65,0,0,NS_GREEN,13,1.0,0
66,0,0,NS_GREEN,13,3.0,0
67,2,0,NS_GREEN,14,7.0,0
68,2,3,NS_GREEN,14,14.0,0
69,3,2,NS_GREEN,15,20.0,0
70,3,3,NS_GREEN,13,28.0,2
71,2,3,NS_GREEN,12,31.0,1
72,2,3,NS_GREEN,11,38.0,1
73,3,3,NS_GREEN,11,45.0,1
74,0,3,NS_GREEN,11,38.0,0
75,0,3,NS_GREEN,11,43.0,1
76,0,3,NS_GREEN,11,48.0,0
77,0,3,NS_GREEN,12,53.0,1
78,0,3,NS_GREEN,12,58.0,0
79,1,4,NS_GREEN,13,65.0,0
80,1,4,NS_GREEN,13,72.0,0
81,2,4,NS_GREEN,12,64.0,1
82,1,4,NS_GREEN,12,67.0,0
83,0,4,NS_GREEN,11,70.0,1
84,0,5,NS_GREEN,12,75.0,1
85,0,4,NS_GREEN,11,80.0,1
86,0,4,NS_GREEN,10,85.0,1
87,0,4,NS_GREEN,10,90.0,0
88,0,4,NS_GREEN,10,95.0,0
89,0,4,NS_GREEN,10,100.0,0
90,0,5,EW_GREEN,10,80.0,2
91,0,2,EW_GREEN,10,24.0,0
92,0,0,EW_GREEN,9,0.0,1
93,0,0,EW_GREEN,9,0.0,0
94,2,0,EW_GREEN,11,2.0,0
95,2,0,EW_GREEN,11,4.0,1
96,2,0,EW_GREEN,12,7.0,0
97,2,0,EW_GREEN,12,10.0,0
98,4,1,EW_GREEN,12,16.0,0
99,4,0,EW_GREEN,11,20.0,1
100,5,0,EW_GREEN,10,26.0,1
101,5,0,EW_GREEN,9,32.0,1
