step,ns_queue,ew_queue,active_phase,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,NS_GREEN,8,0.0,0
1,0,0,NS_GREEN,8,0.0,0
2,0,0,NS_GREEN,12,0.0,0
3,0,0,NS_GREEN,12,0.0,0
4,0,3,NS_GREEN,12,3.0,0
5,0,5,NS_GREEN,13,8.0,0
6,0,6,NS_GREEN,12,14.0,2
7,0,6,NS_GREEN,12,20.0,0
8,0,6,NS_GREEN,12,26.0,0
9,0,6,NS_GREEN,10,32.0,2
10,0,6,NS_GREEN,10,39.0,1
11,0,6,NS_GREEN,10,44.0,0
12,0,6,NS_GREEN,10,50.0,1
13,0,6,NS_GREEN,9,56.0,1
14,0,6,NS_GREEN,10,62.0,0
15,0,6,NS_GREEN,10,68.0,0
16,0,6,NS_GREEN,11,74.0,0
17,0,6,NS_GREEN,14,80.0,0
18,0,6,NS_GREEN,13,86.0,1
19,0,6,NS_GREEN,13,92.0,1
20,0,6,NS_GREEN,14,98.0,0
21,0,6,NS_GREEN,12,104.0,2
22,0,6,NS_GREEN,12,110.0,0
23,0,6,NS_GREEN,12,116.0,1
24,0,6,NS_GREEN,11,122.0,2
25,0,6,NS_GREEN,10,128.0,1
26,0,6,NS_GREEN,9,134.0,1
27,0,6,NS_GREEN,9,140.0,0
28,0,8,NS_GREEN,14,146.0,0
29,0,6,NS_GREEN,13,152.0,1
30,0,6,EW_GREEN,13,158.0,1
31,0,2,EW_GREEN,13,53.0,0
32,0,0,EW_GREEN,12,0.0,1
33,0,0,EW_GREEN,13,0.0,0
34,1,0,EW_GREEN,13,1.0,2
35,1,0,EW_GREEN,13,3.0,0
36,1,0,EW_GREEN,13,6.0,0
37,5,1,EW_GREEN,14,13.0,0
38,5,1,EW_GREEN,15,19.0,0
39,5,1,EW_GREEN,15,21.0,1
40,4,1,EW_GREEN,15,27.0,0
41,5,1,EW_GREEN,13,31.0,2
42,6,0,EW_GREEN,13,36.0,1
43,7,0,EW_GREEN,12,44.0,1
44,7,0,EW_GREEN,12,52.0,0
45,7,0,EW_GREEN,12,60.0,0
46,7,0,EW_GREEN,12,68.0,0
47,7,0,EW_GREEN,12,76.0,0
48,8,0,EW_GREEN,11,85.0,1
49,8,0,EW_GREEN,11,80.0,0
50,8,0,EW_GREEN,11,88.0,0
51,8,0,EW_GREEN,11,96.0,0
52,8,0,EW_GREEN,9,104.0,2
53,8,0,EW_GREEN,9,112.0,0
54,8,0,EW_GREEN,9,120.0,0
55,8,0,EW_GREEN,9,128.0,0
56,8,0,EW_GREEN,11,136.0,0
57,8,0,EW_GREEN,10,144.0,1
58,8,0,EW_GREEN,10,152.0,0
59,8,0,EW_GREEN,10,160.0,0
60,8,0,NS_GREEN,10,168.0,0
61,4,0,NS_GREEN,10,73.0,0
62,0,0,NS_GREEN,10,0.0,0
63,0,0,NS_GREEN,8,0.0,2
64,0,0,NS_GREEN,9,0.0,0
65,0,0,NS_GREEN,10,1.0,0
66,2,0,NS_GREEN,11,3.0,0
67,1,0,NS_GREEN,12,5.0,0
68,1,0,NS_GREEN,12,7.0,0
69,2,0,NS_GREEN,11,10.0,1
70,3,0,NS_GREEN,11,13.0,2
71,0,0,NS_GREEN,10,8.0,1
72,0,0,NS_GREEN,9,10.0,1
73,0,0,NS_GREEN,9,12.0,1
74,0,0,NS_GREEN,7,14.0,2
75,0,0,NS_GREEN,9,16.0,0
76,1,0,NS_GREEN,8,19.0,1
77,1,0,NS_GREEN,9,22.0,0
78,2,0,NS_GREEN,10,26.0,0
79,2,0,NS_GREEN,9,30.0,1
80,2,0,NS_GREEN,10,18.0,0
81,1,0,NS_GREEN,10,4.0,2
82,0,0,NS_GREEN,10,0.0,0
83,0,0,NS_GREEN,10,0.0,1
84,0,0,NS_GREEN,13,0.0,2
85,0,0,NS_GREEN,13,2.0,0
86,0,0,NS_GREEN,18,2.0,0
87,1,0,NS_GREEN,19,4.0,0
88,1,4,NS_GREEN,18,11.0,1
89,3,6,NS_GREEN,18,22.0,0
90,4,6,EW_GREEN,18,34.0,1
91,4,2,EW_GREEN,19,30.0,0
92,4,0,EW_GREEN,18,30.0,1
93,4,2,EW_GREEN,19,32.0,0
94,5,3,EW_GREEN,17,36.0,2
95,5,3,EW_GREEN,17,29.0,0
96,5,2,EW_GREEN,17,28.0,0
97,5,1,EW_GREEN,16,24.0,1
98,6,0,EW_GREEN,16,28.0,0
99,7,0,EW_GREEN,16,37.0,0
100,8,0,EW_GREEN,16,47.0,0
101,8,0,EW_GREEN,16,57.0,0
