step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,2,2,0.0,0.0,2.4,2.4,2.4,2.4,0.0,0.0,NS,VERY_LIGHT,0,4,0.0,0
1,0,0,2,2,0.0,0.0,2.4,2.4,2.4,2.4,0.0,0.0,NS,VERY_LIGHT,1,4,0.0,0
2,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,-0.6,0.0,NS,VERY_LIGHT,2,4,0.0,0
3,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,-0.4,0.0,NS,VERY_LIGHT,3,5,0.0,0
4,0,0,2,2,0.0,0.0,2.4,2.4,2.4,2.4,0.0,0.0,NS,VERY_LIGHT,4,6,0.0,0
5,0,2,1,2,0.0,2.0,1.2,9.8,1.2,19.05,-0.3,1.85,NS,VERY_LIGHT,5,6,2.0,0
6,0,3,2,3,0.0,4.0,2.4,14.9,3.9,30.52,0.3,3.12,NS,VERY_LIGHT,6,6,4.0,2
7,0,2,2,3,0.0,6.0,2.4,11.8,3.9,23.55,0.3,2.35,NS,VERY_LIGHT,7,7,6.0,0
8,0,3,1,4,0.0,8.0,1.2,16.9,1.2,35.03,-0.3,3.63,NS,VERY_LIGHT,8,8,8.0,0
9,0,2,2,4,0.0,10.0,2.4,13.8,3.9,18.8,0.3,1.0,NS,VERY_LIGHT,9,9,10.0,0
10,0,2,2,4,0.0,12.0,2.4,14.2,2.4,14.2,0.0,-0.17,NS,VERY_LIGHT,10,8,12.0,2
11,0,2,1,4,0.0,14.0,1.2,14.6,1.2,18.1,-0.3,0.7,NS,VERY_LIGHT,11,8,14.0,0
12,0,2,2,5,0.0,16.0,2.4,16.2,3.9,16.2,0.3,-0.18,NS,VERY_LIGHT,12,10,16.0,0
13,0,2,1,5,0.0,18.0,1.2,16.6,1.2,20.1,-0.3,0.7,NS,VERY_LIGHT,13,9,18.0,1
14,0,2,2,5,0.0,20.0,2.4,17.0,2.4,20.5,0.0,0.7,NS,VERY_LIGHT,14,10,20.0,1
15,0,4,2,6,0.0,23.0,2.4,25.8,3.9,39.8,0.3,2.8,EW,MEDIUM,0,10,23.0,1
16,0,1,2,6,0.0,2.0,2.4,11.1,2.4,11.1,0.0,-1.27,EW,LIGHT,1,9,2.0,1
17,0,1,4,5,0.0,1.0,4.8,9.7,9.3,9.7,0.9,-1.73,EW,LIGHT,2,12,1.0,0
18,0,0,4,5,0.0,0.0,4.8,6.0,7.8,6.0,0.6,-2.75,EW,VERY_LIGHT,3,12,0.0,0
19,2,0,4,5,2.0,0.0,12.2,6.0,24.45,6.0,2.45,-4.95,EW,VERY_LIGHT,4,11,2.0,1
