step,ns_queue,ew_queue,ns_vehicle_count,ew_vehicle_count,ns_waiting_time,ew_waiting_time,ns_current_score,ew_current_score,ns_predicted_score,ew_predicted_score,ns_score_trend,ew_score_trend,chosen_direction,traffic_level,elapsed_green,vehicles_in_simulation,total_waiting_time,completed_vehicles
0,0,0,2,2,0.0,0.0,2.4,2.4,2.4,2.4,0.0,0.0,NS,VERY_LIGHT,0,4,0.0,0
1,0,0,2,2,0.0,0.0,2.4,2.4,2.4,2.4,0.0,0.0,NS,VERY_LIGHT,1,4,0.0,0
2,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,-0.6,0.0,NS,VERY_LIGHT,2,4,0.0,0
3,0,0,0,2,0,0.0,0.0,2.4,0.0,2.4,-0.8,0.0,NS,EMPTY,3,4,0.0,0
4,0,0,0,2,0,0.0,0.0,2.4,0.0,2.4,-0.6,0.0,NS,EMPTY,4,4,0.0,0
5,0,2,0,2,0,2.0,0.0,9.8,0.0,19.05,-0.6,1.85,NS,EMPTY,5,4,2.0,0
6,0,2,0,2,0,4.0,0.0,10.2,0.0,19.95,-0.3,1.95,NS,EMPTY,6,2,4.0,2
7,0,2,1,2,0.0,6.0,1.2,10.6,2.7,20.85,0.3,2.05,NS,VERY_LIGHT,7,3,6.0,0
8,0,2,2,2,0.0,8.0,2.4,11.0,5.4,21.75,0.6,2.15,NS,VERY_LIGHT,8,4,8.0,0
9,0,2,1,2,0.0,10.0,1.2,11.4,2.7,13.4,0.3,0.4,NS,VERY_LIGHT,9,4,10.0,0
10,0,2,1,2,0.0,12.0,1.2,11.8,2.7,13.8,0.3,0.4,NS,VERY_LIGHT,10,4,12.0,0
11,0,2,0,2,0,14.0,0.0,12.2,0.0,14.2,-0.3,0.4,NS,EMPTY,11,4,14.0,0
12,0,3,0,3,0,16.0,0.0,17.3,0.0,25.18,-0.6,1.58,NS,EMPTY,12,5,16.0,0
13,0,3,1,4,0.0,18.0,1.2,18.9,1.2,28.28,0.0,1.88,NS,VERY_LIGHT,13,7,18.0,0
14,0,2,1,4,0.0,20.0,1.2,15.8,1.2,20.8,0.0,1.0,NS,VERY_LIGHT,14,5,20.0,2
15,0,2,0,4,0,22.0,0.0,16.2,0.0,21.2,0.0,1.0,EW,MEDIUM,0,5,22.0,0
16,0,0,1,4,0.0,0.0,1.2,4.8,2.7,4.8,0.3,-3.12,EW,VERY_LIGHT,1,6,0.0,0
17,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,0.0,-4.13,EW,VERY_LIGHT,2,6,0.0,0
18,0,0,1,2,0.0,0.0,1.2,2.4,1.2,2.4,0.0,-3.35,EW,VERY_LIGHT,3,6,0.0,0
19,0,0,2,2,0.0,0.0,2.4,2.4,5.4,2.4,0.6,-3.45,EW,VERY_LIGHT,4,7,0.0,0
